Sales,Times
188282.37,2022-01-02
175635.08,2022-01-16
180745.57000000024,2022-01-30
175553.9500000002,2022-02-13
153592.78000000014,2022-02-27
138011.88000000024,2022-03-13
138984.36000000004,2022-03-27
149172.84000000003,2022-04-10
142690.26999999996,2022-04-24
141244.22000000003,2022-05-08
136933.7699999999,2022-05-22
145360.00000000006,2022-06-05
118763.83000000002,2022-06-19
146116.2200000001,2022-07-03
172195.74000000008,2022-07-17
165077.1,2022-07-31
172210.46999999986,2022-08-14
171906.85000000024,2022-08-28
187111.19000000018,2022-09-11
188362.01999999984,2022-09-25
201635.19999999984,2022-10-09
185857.82,2022-10-23
218548.1000000001,2022-11-06
205237.94999999992,2022-11-20
183870.69999999995,2022-12-04
248539.6900000002,2022-12-18
188923.45999999996,2023-01-01
194840.9000000002,2023-01-15
195746.45000000024,2023-01-29
197391.46999999997,2023-02-12
196023.07000000004,2023-02-26
193542.2400000001,2023-03-12
190778.44,2023-03-26
188828.7899999999,2023-04-09
198382.73000000013,2023-04-23
197226.72999999992,2023-05-07
190443.42,2023-05-21
195852.35000000015,2023-06-04
192361.72999999998,2023-06-18
198358.63999999996,2023-07-02
198730.00000000012,2023-07-16
200730.93000000034,2023-07-30
208400.82,2023-08-13
217010.875,2023-08-27
206605.53000000014,2023-09-10
208988.2850000001,2023-09-24
206208.41999999993,2023-10-08
211287.4100000001,2023-10-22
209159.32,2023-11-05
203741.27500000002,2023-11-19
221647.8650000003,2023-12-03
254249.65999999986,2023-12-17
